Name,Encodings,SoE
Aakash,"-0.12463712692260742,0.037209559231996536,0.03765508905053139,-0.030994703993201256,-0.07069827616214752,-0.06536206603050232,0.0022779200226068497,-0.0655832588672638,0.1828104704618454,-0.20075006783008575,0.1958412528038025,-0.007326312363147736,-0.2018595188856125,-0.037079524248838425,-0.01275407150387764,0.09521594643592834,-0.0773206353187561,-0.11563646793365479,-0.03742840141057968,-0.11887094378471375,0.11843235045671463,0.043807342648506165,-0.05425575375556946,0.011575933545827866,-0.18780571222305298,-0.325673907995224,-0.11617877334356308,-0.07732469588518143,-0.0012710373848676682,-0.035360679030418396,0.05556775629520416,0.030081138014793396,-0.15559689700603485,-0.011694418266415596,0.007309334352612495,0.10356485098600388,-0.032782331109046936,0.004633987322449684,0.14423517882823944,-0.013797665014863014,-0.13980300724506378,-0.0005546314641833305,0.056413017213344574,0.2517709732055664,0.03727082535624504,0.07004417479038239,0.0686790719628334,-0.09615688771009445,0.07596488296985626,-0.21905136108398438,0.0699298232793808,0.10006076097488403,0.05148007720708847,0.08077946305274963,0.07835043966770172,-0.1888679713010788,0.08301877975463867,0.09562662243843079,-0.22365429997444153,0.15478375554084778,0.08308286964893341,-0.12147578597068787,-0.07439618557691574,0.06373364478349686,0.19905035197734833,0.06670282781124115,-0.08988494426012039,-0.09686048328876495,0.21230284869670868,-0.1904800832271576,0.01852608099579811,0.05954405292868614,-0.05975327640771866,-0.23869688808918,-0.21264734864234924,0.08222271502017975,0.43573281168937683,0.20537163317203522,-0.10285228490829468,0.08308014273643494,-0.0706099420785904,0.02251400426030159,0.12864544987678528,0.02973981387913227,-0.07464386522769928,-0.0017522089183330536,-0.14310815930366516,0.12055405974388123,0.19769135117530823,0.008560477755963802,0.0032785842195153236,0.24863193929195404,0.04875501990318298,0.028172701597213745,0.031109977513551712,0.035280413925647736,-0.14726100862026215,-0.020529869943857193,-0.0717412680387497,-0.023059440776705742,0.12474866956472397,-0.1356317102909088,0.019706731662154198,0.069161057472229,-0.1990894377231598,0.2115040421485901,-0.0341777577996254,-0.038500137627124786,-0.02367435023188591,0.06761670112609863,-0.10514214634895325,-0.007560109253972769,0.1220901608467102,-0.2022746205329895,0.1906181424856186,0.16971565783023834,0.0600910522043705,0.2425413876771927,0.08842417597770691,0.06145476549863815,0.01930522918701172,-0.11132712662220001,-0.191344752907753,-0.07227075845003128,-0.02302318438887596,-0.0207328200340271,0.0783071517944336,0.061270732432603836",0.392596848
Akarsh,"-0.1590057909488678,0.047347716987133026,0.10414750874042511,-0.015779932960867882,0.022636331617832184,-0.10868982970714569,-0.027804328128695488,-0.11677208542823792,0.1663607358932495,-0.16268371045589447,0.19458280503749847,0.0309852734208107,-0.12636339664459229,-0.09974788874387741,-0.06902503967285156,0.10714997351169586,-0.09149621427059174,-0.18725064396858215,-0.0824311375617981,-0.12448378652334213,0.07248532772064209,-0.01626507192850113,-0.026865506544709206,0.028266489505767822,-0.17587779462337494,-0.26060405373573303,-0.12214024364948273,-0.13225792348384857,0.08316385000944138,-0.0333121232688427,-0.05353423207998276,-0.02855740115046501,-0.1846991628408432,-0.025503329932689667,-0.04771127179265022,0.09651746600866318,0.04920415207743645,0.02272527664899826,0.17996494472026825,-0.0316951684653759,-0.14366303384304047,0.05072445049881935,0.07382979243993759,0.24726146459579468,0.1466870903968811,0.03233913332223892,0.05244971066713333,-0.027131255716085434,0.11911708116531372,-0.20506763458251953,0.08005964010953903,0.10580341517925262,0.18585819005966187,0.10895109176635742,0.06931271404027939,-0.17749445140361786,0.03974458575248718,0.0748843178153038,-0.21903739869594574,0.1717081218957901,0.051832880824804306,-0.04735008627176285,-0.052723877131938934,0.08118055015802383,0.22196173667907715,0.17651137709617615,-0.10078221559524536,-0.12088878452777863,0.23342975974082947,-0.227549746632576,0.048641838133335114,0.039049047976732254,-0.09569472074508667,-0.12897081673145294,-0.22328554093837738,0.04767013341188431,0.3998893201351166,0.16005152463912964,-0.14726316928863525,0.07631727308034897,-0.12405651062726974,0.01694568619132042,0.07047363370656967,-0.03201093524694443,-0.14798393845558167,0.06591977179050446,-0.12437533587217331,0.055985331535339355,0.21375703811645508,0.06723387539386749,-0.004262279253453016,0.18463321030139923,0.04207649081945419,0.03499312326312065,0.046889886260032654,0.0306219682097435,-0.10632722079753876,-0.05576365068554878,-0.0934341549873352,0.033204007893800735,-0.00483482051640749,-0.10394413769245148,0.031505465507507324,0.043186869472265244,-0.12728098034858704,0.15198743343353271,-0.01580124720931053,0.020847368985414505,-0.07706742733716965,0.1665572226047516,-0.11034668982028961,-0.05129339173436165,0.11200464516878128,-0.15317346155643463,0.23120859265327454,0.15673808753490448,0.025696897879242897,0.13436882197856903,0.0824100598692894,0.07660242170095444,-0.004944696091115475,-0.01938122883439064,-0.09540397673845291,-0.06616399437189102,-0.018721845000982285,-0.10114092379808426,0.1219131276011467,0.10872633010149002",0.139621442
Angelina Jolie,"-0.1768135130405426,0.041879039257764816,0.2057763934135437,-0.11737190186977386,-0.09138770401477814,-0.04250486567616463,-0.10178179293870926,-0.1164821982383728,0.16138148307800293,-0.21067404747009277,0.19816575944423676,-0.040728967636823654,-0.2836398184299469,0.028468845412135124,0.0180247463285923,0.16028335690498352,-0.23185761272907257,-0.18307243287563324,-0.06061554700136185,-0.06774871051311493,0.0851384848356247,0.07879815995693207,-0.0777510479092598,0.07543947547674179,-0.15683065354824066,-0.3768002390861511,-0.13651302456855774,0.041765883564949036,-0.021102767437696457,-0.07025152444839478,0.010594203136861324,0.06449054181575775,-0.21180513501167297,0.039917245507240295,-0.029844000935554504,0.21462129056453705,-0.04040706157684326,-0.1418963372707367,0.08012863993644714,-0.023857705295085907,-0.29673051834106445,-0.05717448890209198,0.12537889182567596,0.2252795398235321,0.25767743587493896,-0.012205857783555984,0.00034047849476337433,-0.04626055806875229,0.11684773117303848,-0.3417103588581085,0.06673897802829742,0.23026104271411896,0.03498607128858566,0.12318503856658936,0.1522320657968521,-0.25302213430404663,-0.011035275645554066,0.06389966607093811,-0.11510476469993591,0.029001550748944283,0.09850470721721649,-0.1365593522787094,0.09627888351678848,-0.08676173537969589,0.16281329095363617,0.08903461694717407,-0.16081783175468445,-0.15269973874092102,0.22026388347148895,-0.1657847911119461,-0.018615126609802246,0.11989472806453705,-0.19373582303524017,-0.2077585905790329,-0.35486656427383423,0.03589882701635361,0.4192394018173218,0.09765225648880005,-0.08940916508436203,0.07972574234008789,-0.04425598308444023,-0.03351154550909996,0.02458425611257553,0.18831990659236908,0.06675394624471664,0.03404521197080612,-0.12256636470556259,0.16858619451522827,0.2160821259021759,-0.002463763579726219,0.015339415520429611,0.25525596737861633,-0.005427533760666847,-0.028682265430688858,0.05530824512243271,0.17742419242858887,-0.11822769045829773,-0.029057692736387253,-0.1714809387922287,0.06881507486104965,-0.018764600157737732,-0.0336184948682785,-0.04693826287984848,0.1248280256986618,-0.05969709903001785,0.1942080855369568,0.0302199088037014,-0.009391555562615395,-0.10748501121997833,-0.04451067000627518,-0.12469370663166046,-0.024858640506863594,0.13776834309101105,-0.26676976680755615,0.15549549460411072,0.15195202827453613,-0.0043956320732831955,0.17713645100593567,0.008339389227330685,0.14708895981311798,-0.01452672015875578,-0.1112314835190773,-0.12950187921524048,-0.06178750470280647,-0.04994071647524834,-0.014514160342514515,0.0051352838054299355,0.08306188136339188",-0.554534202
Ben Affleck,"-0.127260223031044,0.1423691213130951,0.08244277536869049,0.006490184925496578,-0.1926630139350891,-0.017591942101716995,-0.018941957503557205,-0.0921156108379364,0.07973084598779678,-0.013006473891437054,0.24131061136722565,-0.04893212765455246,-0.34195077419281006,-0.05702503025531769,0.044194210320711136,0.12828555703163147,-0.19630767405033112,-0.04806843027472496,-0.08217238634824753,-0.0508672334253788,0.08115724474191666,0.10013381391763687,0.061843615025281906,0.023946024477481842,-0.23674283921718597,-0.36463212966918945,-0.047596778720617294,-0.07165466994047165,0.10404621809720993,-0.1679808348417282,0.03178737685084343,0.06931161880493164,-0.12514616549015045,0.0012422725558280945,-0.05791783332824707,0.09375199675559998,-0.07309170812368393,-0.07472510635852814,0.20594140887260437,0.10088717937469482,-0.24836401641368866,0.03456352278590202,-0.053125035017728806,0.329048752784729,0.28917965292930603,-0.05239382013678551,0.11165934056043625,-0.09932857006788254,0.08842788636684418,-0.271231085062027,0.09669174998998642,0.11817030608654022,0.08738943189382553,0.036840133368968964,0.06374912708997726,-0.21203923225402832,-0.08199649304151535,0.22803939878940582,-0.23901233077049255,0.11832433938980103,0.13432899117469788,-0.08991578221321106,0.011616358533501625,-0.04294344782829285,0.18354879319667816,0.059820257127285004,-0.14228752255439758,-0.07257315516471863,0.17391201853752136,-0.1188507005572319,-0.04441586881875992,0.14712458848953247,-0.10681799799203873,-0.19663137197494507,-0.31575849652290344,0.09360266476869583,0.3933751583099365,0.07553725689649582,-0.21635524928569794,-0.07589470595121384,-0.06373821198940277,-0.00666462816298008,0.0925350934267044,0.09968721866607666,-0.052398357540369034,-0.0975678563117981,-0.13547901809215546,0.0868467390537262,0.16264063119888306,-0.030657267197966576,7.120054215192795e-05,0.33251941204071045,0.07736241072416306,-0.025171957910060883,0.07203533500432968,0.10836927592754364,-0.14874254167079926,-0.0038758092559874058,-0.03883004188537598,-0.0478496327996254,0.09634625911712646,-0.2334989458322525,0.03813944011926651,0.08950841426849365,-0.16870912909507751,0.2783138155937195,0.029386896640062332,0.03424372151494026,0.037187084555625916,-0.12180724740028381,-0.06800928711891174,0.061838794499635696,0.2544144093990326,-0.3178979754447937,0.2200661599636078,0.17616434395313263,0.0027429484762251377,0.1674690544605255,0.04563304781913757,0.09440986812114716,-0.06063714995980263,-0.044957369565963745,-0.13937035202980042,0.010716269724071026,0.03985161334276199,-0.07774604856967926,0.05639764666557312,0.06037547066807747",0.229159728
Bill Gates,"-0.05258592590689659,0.0602412112057209,-0.034867748618125916,0.0894923135638237,-0.07299599796533585,-0.07193712890148163,-0.012640613131225109,-0.1343720257282257,0.07188521325588226,-0.10113146156072617,0.13155841827392578,-0.033874914050102234,-0.22095802426338196,-0.07454995810985565,-0.011042858473956585,0.11949872225522995,-0.13081273436546326,-0.056582123041152954,-0.11847330629825592,-0.07653859257698059,-0.018302034586668015,-0.0022539887577295303,0.09969483315944672,-0.013308070600032806,-0.044288571923971176,-0.26749786734580994,-0.08548291772603989,-0.10781347751617432,0.0902198776602745,-0.05880282074213028,-0.022332768887281418,0.0846029743552208,-0.21819108724594116,-0.07792964577674866,0.046993695199489594,0.15314194560050964,-0.05148901417851448,-0.0071871899999678135,0.2838817834854126,0.02076813578605652,-0.15482686460018158,0.029479358345270157,0.0913800373673439,0.21866895258426666,0.203110933303833,-0.004231977742165327,-0.0251893512904644,-0.04537194222211838,0.08285879343748093,-0.17552539706230164,0.05477318912744522,0.13903440535068512,0.20221510529518127,0.055594414472579956,0.03940973058342934,-0.13794080913066864,0.06483317911624908,0.12053566426038742,-0.19355015456676483,0.06537613272666931,0.12854406237602234,-0.13178452849388123,-0.009702473878860474,0.08414951711893082,0.21799905598163605,0.07592495530843735,-0.08488113433122635,-0.10060903429985046,0.17852117121219635,-0.19629301130771637,0.004417246673256159,0.08023323118686676,-0.06603824347257614,-0.1200178861618042,-0.3304602801799774,-0.011827182024717331,0.39470916986465454,0.16076026856899261,-0.07385977357625961,0.002892259508371353,-0.13023343682289124,-0.10812952369451523,0.014750085771083832,0.09604716300964355,-0.11732598394155502,-0.04483509063720703,-0.10445950925350189,0.06489090621471405,0.14294283092021942,0.03236693888902664,-0.041610199958086014,0.18386535346508026,-0.003698432818055153,0.04321873560547829,-0.034413233399391174,-0.027730155736207962,-0.13774047791957855,-0.12070939689874649,-0.10501883924007416,-0.10769443213939667,-0.012134608812630177,-0.17597045004367828,0.048973020166158676,0.17934948205947876,-0.19867341220378876,0.057415179908275604,-0.07080966234207153,-0.020971065387129784,0.0272628515958786,0.030495915561914444,-0.07204155623912811,0.010267682373523712,0.12642434239387512,-0.22114357352256775,0.1866246908903122,0.14888164401054382,-0.02010328695178032,0.05478173866868019,0.12170775234699249,0.08124449104070663,-0.015244982205331326,-0.05517953634262085,-0.2181934267282486,-0.08139465004205704,-0.03936133533716202,0.0034624184481799603,0.11386142671108246,0.06884171813726425",-0.540096845
Brad Pitt,"-0.03464044630527496,0.146744042634964,0.04765530675649643,-0.034061264246702194,-0.13111579418182373,0.0036420272663235664,-0.07691720128059387,-0.06404399126768112,0.16774873435497284,-0.03580857813358307,0.22131681442260742,0.03429153561592102,-0.23874889314174652,-0.12600813806056976,-0.06289667636156082,0.07091349363327026,-0.09269104897975922,-0.09667140990495682,-0.05887359380722046,-0.007345457561314106,0.01898646540939808,0.07025128602981567,0.07401791960000992,0.043352529406547546,-0.10025455057621002,-0.37819451093673706,-0.13580428063869476,-0.046293698251247406,0.041547346860170364,-0.13334588706493378,-0.013788963668048382,0.07255063951015472,-0.1849662959575653,-0.10410276055335999,-0.007701375987380743,0.04121933877468109,-0.11473145335912704,-0.047359876334667206,0.17178049683570862,0.05245519429445267,-0.11441656202077866,0.003988292999565601,-0.015163015574216843,0.27226945757865906,0.1609746366739273,0.0863841325044632,0.07847380638122559,-0.09234793484210968,0.08294519037008286,-0.19511324167251587,0.09914319962263107,0.18582329154014587,0.1622503399848938,0.06945013254880905,0.10237548500299454,-0.18278095126152039,0.08283942937850952,0.21475963294506073,-0.20813137292861938,0.050168298184871674,0.00942828319966793,-0.11668117344379425,0.03808419406414032,0.01044012513011694,0.2665048837661743,0.06671994924545288,-0.06483250856399536,-0.10415558516979218,0.15403608977794647,-0.06473271548748016,0.007526260334998369,0.12146429717540741,-0.07949846982955933,-0.17732687294483185,-0.2599480152130127,0.0941503494977951,0.37502437829971313,0.1774582713842392,-0.13862547278404236,0.04934854060411453,-0.14743709564208984,0.003579231910407543,0.012880296446383,-0.0025908767711371183,-0.17066590487957,-0.08434364199638367,-0.17606273293495178,0.02113332599401474,0.09993341565132141,0.02170383930206299,-0.03447362780570984,0.19400449097156525,0.02416570484638214,0.06746746599674225,0.06078135222196579,-0.004862138535827398,-0.16346973180770874,0.06098132207989693,-0.00988319143652916,0.020627537742257118,0.05051923170685768,-0.1178831085562706,0.012350043281912804,0.06258025020360947,-0.14969824254512787,0.1507710963487625,-0.011077928356826305,-0.008944140747189522,-0.004763866774737835,-0.07628555595874786,-0.08448421210050583,0.0033698570914566517,0.1324407458305359,-0.39214998483657837,0.2517261803150177,0.07565964013338089,-0.007175584323704243,0.24268430471420288,0.08447358012199402,0.10563890635967255,-0.0701407641172409,-0.13878914713859558,-0.11411716043949127,-0.05142608657479286,0.11336429417133331,-0.06103993207216263,0.12056901305913925,0.041356563568115234",0.113381115
Denzen Washington,"-0.024993911385536194,0.09347442537546158,0.09465795755386353,0.05202822387218475,0.0013169782469049096,-0.042924363166093826,0.032824233174324036,-0.1562138795852661,0.20084428787231445,-0.17514920234680176,0.2209046334028244,-0.007105134893208742,-0.21759822964668274,-0.1576789915561676,0.07460944354534149,0.16051709651947021,-0.07500576227903366,-0.1232750415802002,-0.16763517260551453,-0.0880654975771904,-0.02567284367978573,0.046122271567583084,0.04518024995923042,-0.004088983405381441,-0.023721057921648026,-0.33604446053504944,-0.08964541554450989,-0.19076979160308838,0.007052457891404629,-0.09178900718688965,-0.08151829242706299,0.04940490797162056,-0.18744131922721863,-0.13222798705101013,-0.05188861861824989,0.016851576045155525,-0.020280247554183006,-0.012279370799660683,0.19158935546875,-0.05928262323141098,-0.12690696120262146,0.03264009207487106,0.010835280641913414,0.2202042043209076,0.25504070520401,-0.011142827570438385,0.0028824713081121445,-0.007121234200894833,0.08795033395290375,-0.24818243086338043,0.016363928094506264,0.01202623825520277,0.18009397387504578,0.08286873996257782,0.08912032097578049,-0.1897405982017517,-0.028475124388933182,0.04145047068595886,-0.20149385929107666,0.068793386220932,0.06919360160827637,-0.14731337130069733,-0.07315457612276077,0.05329431965947151,0.33997711539268494,0.09742125123739243,-0.10778416693210602,-0.03784279152750969,0.17754971981048584,-0.15893395245075226,0.08005879819393158,0.044856853783130646,-0.1460769921541214,-0.11915373057126999,-0.26246026158332825,0.09464485943317413,0.3871966600418091,0.10387450456619263,-0.21623221039772034,-0.032907746732234955,-0.16029398143291473,0.06785354018211365,0.020489711314439774,-0.005666263401508331,-0.045382071286439896,-0.03942873328924179,-0.10671602189540863,0.0353037528693676,0.1397642344236374,-0.016516830772161484,-0.03806700184941292,0.23983773589134216,-0.04596048966050148,-0.007444338873028755,0.027865855023264885,-0.025606853887438774,-0.03439326584339142,-0.1085759624838829,-0.13871097564697266,0.013283857144415379,0.013074856251478195,-0.13569363951683044,-0.0016047568060457706,0.09883039444684982,-0.146148219704628,0.09579426050186157,-0.06716103106737137,0.013544308952987194,0.014138997532427311,0.018748536705970764,-0.08920589089393616,-0.030786823481321335,0.17554768919944763,-0.20481258630752563,0.1913454234600067,0.1175546646118164,-0.05479807406663895,0.15148167312145233,-0.05121547356247902,0.13777215778827667,-0.09817659109830856,-0.024838171899318695,-0.18950873613357544,-0.06667066365480423,0.09324926137924194,0.020810790359973907,0.09959675371646881,0.06276459991931915",-0.906232507
Elon Musk,"-0.08030512183904648,0.11563055217266083,0.10551364719867706,-0.028934644535183907,-0.1568918079137802,0.043641265481710434,-0.017970992252230644,-0.16822195053100586,0.16638495028018951,-0.07365375012159348,0.24840252101421356,-0.08285952359437943,-0.2814960777759552,0.023661276325583458,0.016539357602596283,0.09437732398509979,-0.125363290309906,-0.15927055478096008,-0.03918156027793884,-0.135500967502594,0.0986340120434761,0.1013140082359314,0.03290756046772003,-0.05095069855451584,-0.13112135231494904,-0.32887622714042664,-0.07912775874137878,-0.08871684968471527,0.1903761476278305,-0.047585174441337585,0.07090331614017487,0.08839154988527298,-0.18703405559062958,-0.05047474056482315,0.05117941275238991,0.04052136838436127,-0.10862763226032257,-0.07736378908157349,0.20445199310779572,-0.0247393436729908,-0.19097517430782318,-0.06887385994195938,0.003682267852127552,0.2146640419960022,0.14871017634868622,0.04776163771748543,0.018432602286338806,-0.1000518724322319,0.028715936467051506,-0.178494393825531,0.09422355890274048,0.2222457081079483,0.06383736431598663,0.07595498859882355,0.11857730150222778,-0.15131230652332306,-0.0016873031854629517,0.1775071769952774,-0.1976042240858078,0.07958127558231354,0.13180503249168396,-0.06772001087665558,0.014748124405741692,-0.08491051942110062,0.1864275336265564,0.028278227895498276,-0.04654495418071747,-0.14095917344093323,0.185985267162323,-0.06954924017190933,-0.11136725544929504,0.1438753753900528,-0.18616585433483124,-0.13142921030521393,-0.25964218378067017,-0.0123470239341259,0.4418693780899048,0.045715462416410446,-0.10151883959770203,0.02867306023836136,-0.006548796780407429,0.016920922324061394,0.10898701101541519,0.02066701650619507,-0.051695555448532104,-0.10420339554548264,-0.049108974635601044,-0.0001214025542140007,0.15704463422298431,-0.04166103154420853,-0.10165520012378693,0.2072836011648178,-0.06298159062862396,-0.02017081528902054,0.04920266196131706,0.07422987371683121,-0.05513971298933029,-0.038620539009571075,-0.08563409745693207,-0.1333482563495636,0.039201050996780396,-0.07033609598875046,-0.000408779364079237,0.16443844139575958,-0.17871154844760895,0.1372738927602768,-0.009987106546759605,0.06382036209106445,0.0170152485370636,-0.03717324510216713,-0.0642629861831665,0.004405895713716745,0.19886331260204315,-0.3019556999206543,0.21133574843406677,0.16455070674419403,-0.04514292627573013,0.10457086563110352,0.027851155027747154,0.050283391028642654,-0.014058426953852177,-0.0496954545378685,-0.2078506052494049,-0.09904240816831589,0.0425056591629982,0.00374842481687665,-0.01543805468827486,0.0487915463745594",-0.363280786
Elton Jhon,"0.04560825601220131,0.0166364386677742,0.001516707707196474,0.056504376232624054,-0.0693507269024849,-0.022665640339255333,0.032618939876556396,-0.029965853318572044,0.19849368929862976,-0.09642533212900162,0.1348353922367096,-0.044521018862724304,-0.1785026490688324,0.030778096988797188,0.009007113054394722,0.07046843320131302,-0.16354425251483917,-0.050853338092565536,-0.09032700955867767,0.024982497096061707,0.024818820878863335,-0.04240355268120766,0.08315963298082352,-0.06754737347364426,-0.07171331346035004,-0.3601994514465332,-0.13316723704338074,-0.09624069929122925,0.08817398548126221,-0.04796454682946205,0.046541012823581696,0.10625864565372467,-0.14877849817276,-0.024768590927124023,-0.013394556008279324,0.06364907324314117,-0.15145587921142578,-0.03593134507536888,0.25397613644599915,0.027318308129906654,-0.20788045227527618,0.009952357038855553,0.01814138889312744,0.24504107236862183,0.2120639532804489,0.022462906315922737,0.018743082880973816,-0.053224559873342514,0.028072062879800797,-0.2603852450847626,0.062405988574028015,0.16641978919506073,0.11387837678194046,0.15112905204296112,0.08184468001127243,-0.06802941858768463,0.07924661040306091,0.10918350517749786,-0.17576263844966888,0.0849592387676239,0.1085171103477478,-0.04438237100839615,0.03744111210107803,0.04983491450548172,0.22057630121707916,0.11151529848575592,-0.06076434254646301,-0.08485022932291031,0.12696339190006256,-0.20890779793262482,-0.05386439710855484,0.050949759781360626,-0.08269539475440979,-0.1979125738143921,-0.2437860071659088,-0.04356462508440018,0.3576865494251251,0.1217532828450203,-0.07967392355203629,0.01175056491047144,-0.09783085435628891,-0.09390976279973984,0.06213553994894028,0.07039434462785721,-0.11341062188148499,-0.02524653822183609,-0.0836653783917427,0.04647442698478699,0.2184135615825653,-0.07595410197973251,-0.02631746605038643,0.18182842433452606,-0.012564538046717644,-0.034852370619773865,-0.003511125221848488,-0.01855299063026905,-0.036124806851148605,-0.014453666284680367,-0.17099902033805847,-0.08401535451412201,0.06066855788230896,-0.17455194890499115,-0.032788731157779694,0.08758065104484558,-0.25971344113349915,0.17209337651729584,-0.005655093118548393,-0.04785533994436264,0.06938952952623367,-0.0356617271900177,-0.11700340360403061,0.060433316975831985,0.22156178951263428,-0.239112988114357,0.2305196076631546,0.16791638731956482,0.01858329586684704,0.10131693631410599,0.05687534809112549,0.073952816426754,-0.0455155074596405,-0.06625745445489883,-0.19180937111377716,-0.03010530211031437,-0.042092517018318176,0.08085901290178299,0.007053635083138943,0.042446933686733246",-0.038560864
